id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33304018,An absolute gem in the heart of Bordeaux!,17485556,Valentine,Bordeaux,Centre ville (Bordeaux),44.8366,-0.57117,Entire home/apt,95,4,26,2019-11-03,3.55,1,7
33305577,Magnifique Appartement au Marché des Capucins,70173089,Romain,Bordeaux,Bordeaux Sud,44.83327,-0.56759,Entire home/apt,125,2,1,2019-03-31,0.12,2,326
33305638,Studio hypercentre place de la bourse,250859488,Apolline,Bordeaux,Centre ville (Bordeaux),44.84069,-0.5699,Entire home/apt,79,2,0,,,1,84
33307048,Duplex de standing Centre historique de Bordeaux,53160774,Gwénola,Bordeaux,Centre ville (Bordeaux),44.8378,-0.57156,Entire home/apt,150,2,26,2019-11-10,3.48,1,269
33307216,Très bel appartement au Marché des Capucins,6061693,Felix,Bordeaux,Bordeaux Sud,44.83404,-0.56672,Entire home/apt,130,5,1,2019-07-12,0.22,2,45
33307526,Charmant T2 à 5 minutes du centre,16630861,Isabelle,Bordeaux,Centre ville (Bordeaux),44.83795,-0.59908,Entire home/apt,45,2,5,2019-09-15,0.66,1,54
33307938,Studio indépendant en centre ville proche Bordeaux,47575414,Fabien,Blanquefort,Blanquefort,44.91122,-0.63747,Entire home/apt,35,15,5,2019-09-27,0.72,1,148
33308853,Ma maison près de Bordeaux,35685319,Sophie,Pessac,Sardine,44.79482,-0.63113,Entire home/apt,250,7,0,,,2,0
33310169,Villa Bordelaise avec piscine privée,5348373,Stephanie,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83314,-0.58615,Entire home/apt,310,1,1,2019-06-19,0.19,13,327
33311963,"Maison en pierre 6 personnes, centre de Bordeaux",5787305,Arnaud,Bordeaux,Bordeaux Sud,44.82971,-0.57026,Entire home/apt,150,3,1,2019-07-18,0.23,1,68
33312609,MAISON LOFT★PISCINE★CENTRE VILLE,247646581,Helene,Bordeaux,Nansouty - Saint Gens,44.82162,-0.57329,Entire home/apt,250,2,5,2019-11-03,0.64,1,38
33326493,Appartement-maison avec terrasse de 22m2 proche Bx,7648376,Trinidad,Le Bouscat,Le Bouscat,44.85541,-0.59422,Entire home/apt,90,2,0,,,1,84
33326671,Charmant appartement au coeur de Bruges,116088461,Salomé,Bruges,Bruges,44.87831,-0.60811,Private room,32,1,7,2019-10-06,0.87,1,65
33332588,Charmant appartement au cœur de Bordeaux,251091947,Adrien,Bordeaux,Centre ville (Bordeaux),44.83798,-0.56756,Entire home/apt,55,5,5,2019-10-15,0.70,1,88
33340143,Grand studio tout équipé proche de la gare,91809750,Florian,Bgles,Bgles,44.811,-0.55114,Entire home/apt,30,2,14,2019-06-27,1.78,2,0
33341132,Bel appartement 95m² - Centre-ville - Saint-Michel,250944958,Marc,Bordeaux,Bordeaux Sud,44.83447,-0.56794,Entire home/apt,120,2,14,2019-11-10,1.85,1,74
33342022,Chambre privée + sde dans villa bruges bordeaux,54028280,David,Bruges,Bruges,44.88223,-0.61399,Private room,70,1,0,,,2,0
33344099,Logement Bordeaux hypercentre  Gambetta,80297423,Rayane,Bordeaux,Centre ville (Bordeaux),44.83962,-0.58014,Entire home/apt,50,2,40,2019-11-20,5.33,2,329
33362657,"Jolie maison, jardin ensoleillé toute l'année",251327792,Laurence,Le Bouscat,Le Bouscat,44.8665,-0.60984,Entire home/apt,80,2,12,2019-11-17,1.55,1,173
33363735,Chaleureux T2 Bordelais 45m carré au Calme,27698058,Youchaou,Bordeaux,Bordeaux Sud,44.8277,-0.57024,Entire home/apt,65,2,14,2019-11-03,2.09,1,360
33367261,Agréable studio proche du centre ville,251361846,Marie,Bordeaux,Nansouty - Saint Gens,44.82705,-0.57671,Entire home/apt,42,2,12,2019-08-30,1.82,1,0
33381636,Appartement neuf dans une résidence calme,85491957,Lopes,Bruges,Bruges,44.88453,-0.61241,Private room,45,1,3,2019-08-12,0.45,1,32
33381654,Villa de vacances région bordelaise,47488550,Matthias,Merignac,Chemin Long,44.82413,-0.65689,Entire home/apt,85,7,2,2019-08-25,0.55,2,0
33386635,Grand T2 avec piscine à 5min de Bordeaux,223008999,Marc,Talence,Talence,44.8147,-0.59279,Entire home/apt,60,4,5,2019-08-29,1.08,1,84
33390135,Studio au calme en plein centre de Bordeaux,22152882,Maÿlis,Bordeaux,Nansouty - Saint Gens,44.8241,-0.57316,Entire home/apt,35,2,32,2019-11-24,4.00,1,16
