,id,host_id,room_type,bedrooms,price,count of reviews,days of occupancy,Yearly income,Zone
75,2184032,11138696,Entire home/apt,2,70,45,189.0,13230.0,3
76,2225756,7721469,Entire home/apt,3+,250,30,125.99999999999999,31499.999999999996,1
77,2231377,9477089,Private room,1,50,29,121.8,6090.0,3
78,2248994,4057188,Private room,1,55,87,256.0,14080.0,4
79,2273201,11605863,Entire home/apt,Studio,35,11,46.199999999999996,1616.9999999999998,2
80,2285698,11138696,Entire home/apt,2,62,12,50.4,3124.7999999999997,3
81,2384060,7896753,Private room,1,40,15,62.99999999999999,2519.9999999999995,5
82,2402008,9116145,Private room,1,25,41,172.2,4305.0,3
83,2517422,12888245,Entire home/apt,3+,200,18,75.6,15119.999999999998,1
84,2519743,3170753,Entire home/apt,1,80,8,33.599999999999994,2687.9999999999995,1
85,2522837,12917011,Entire home/apt,1,89,63,256.0,22784.0,1
86,2525201,12929499,Entire home/apt,1,65,15,62.99999999999999,4094.9999999999995,2
87,2530568,12540790,Entire home/apt,1,59,9,37.8,2230.2,5
88,2545132,1842076,Private room,1,38,57,239.39999999999998,9097.199999999999,2
89,2571484,11749918,Entire home/apt,2,110,9,37.8,4158.0,3
90,2595648,8495128,Private room,1,45,46,193.2,8694.0,2
91,2598374,2223054,Entire home/apt,1,70,19,79.8,5586.0,2
92,2604928,11534444,Entire home/apt,1,90,30,125.99999999999999,11339.999999999998,2
93,2618732,13410998,Entire home/apt,1,70,11,46.199999999999996,3233.9999999999995,1
94,2679324,5197927,Private room,1,28,19,79.8,2234.4,3
95,2750593,8495128,Private room,1,45,11,46.199999999999996,2079.0,2
96,2757359,5197927,Entire home/apt,2,52,23,96.6,5023.2,3
97,2758236,14108597,Entire home/apt,3+,150,51,214.2,32130.0,1
98,2772856,1006407,Entire home/apt,2,105,9,37.8,3968.9999999999995,4
99,2808332,14364378,Entire home/apt,2,130,13,54.599999999999994,7097.999999999999,2
100,2808914,8213752,Entire home/apt,Studio,60,42,176.39999999999998,10583.999999999998,1
101,2828045,14467875,Entire home/apt,1,57,18,75.6,4309.2,1
102,2833908,14497051,Private room,1,45,37,155.39999999999998,6992.999999999999,3
103,2877449,7109418,Entire home/apt,1,48,24,100.8,4838.4,5
104,2906810,14850260,Entire home/apt,2,80,8,33.599999999999994,2687.9999999999995,5
105,2930433,14964488,Entire home/apt,2,95,7,29.4,2793.0,3
106,2939002,15006388,Entire home/apt,3+,150,21,88.19999999999999,13229.999999999998,1
107,2944617,15034132,Entire home/apt,2,75,26,109.19999999999999,8189.999999999999,5
108,2957921,2969965,Entire home/apt,Studio,32,7,29.4,940.8,1
109,2990053,15247892,Entire home/apt,2,124,17,71.39999999999999,8853.599999999999,1
110,2992590,15257999,Entire home/apt,3+,89,35,147.0,13083.0,6
111,2995692,9008328,Entire home/apt,2,110,17,71.39999999999999,7853.999999999999,2
112,3008158,11683637,Entire home/apt,1,55,69,256.0,14080.0,3
113,3048689,15130444,Entire home/apt,2,85,9,37.8,3212.9999999999995,1
114,3100199,15763549,Entire home/apt,1,70,23,96.6,6762.0,5
115,3113973,9312848,Entire home/apt,1,83,33,138.6,11503.8,1
116,3152942,7519158,Entire home/apt,1,75,31,130.2,9765.0,1
117,3156633,16017431,Entire home/apt,3+,180,39,163.79999999999998,29483.999999999996,5
118,3163748,16048378,Entire home/apt,1,49,73,256.0,12544.0,4
119,3190584,16172955,Private room,1,30,48,201.6,6048.0,6
120,3204509,16236920,Entire home/apt,1,58,15,62.99999999999999,3653.9999999999995,3
121,3226950,16057666,Private room,2,80,22,92.39999999999999,7391.999999999999,1
122,3228212,16339007,Entire home/apt,2,110,28,117.6,12936.0,1
123,3331472,7914202,Private room,1,35,44,184.79999999999998,6467.999999999999,3
124,3333495,16764952,Entire home/apt,1,90,20,84.0,7560.0,1
125,3339010,16854851,Entire home/apt,2,90,8,33.599999999999994,3023.9999999999995,2
126,3357672,9694254,Private room,1,40,83,256.0,10240.0,2
127,3369061,15932813,Entire home/apt,1,72,42,176.39999999999998,12700.8,1
128,3384484,6133211,Entire home/apt,1,85,52,218.39999999999998,18563.999999999996,2
129,3393655,17121027,Entire home/apt,3+,185,14,58.8,10878.0,5
130,3431983,17295696,Entire home/apt,1,90,10,42.0,3780.0,2
131,3467646,17404543,Entire home/apt,3+,98,22,92.39999999999999,9055.199999999999,1
132,3469467,17481578,Entire home/apt,3+,155,8,33.599999999999994,5207.999999999999,3
133,3517764,17698340,Entire home/apt,1,85,21,88.19999999999999,7496.999999999999,1
134,3536687,17635417,Shared room,1,24,11,46.199999999999996,1108.8,1
135,3554744,17898909,Private room,1,40,61,256.0,10240.0,2
136,3558795,14011390,Entire home/apt,2,75,15,62.99999999999999,4724.999999999999,1
137,3569633,17972568,Entire home/apt,2,69,23,96.6,6665.4,2
138,3570100,6715570,Private room,1,89,8,33.599999999999994,2990.3999999999996,5
139,3584354,18056052,Entire home/apt,1,30,11,46.199999999999996,1385.9999999999998,2
140,3591392,18092256,Entire home/apt,2,190,14,58.8,11172.0,1
141,3591507,1563225,Entire home/apt,3+,145,41,172.2,24969.0,5
142,3623882,18254467,Private room,2,35,13,54.599999999999994,1910.9999999999998,5
143,3648370,17643180,Private room,1,50,31,130.2,6509.999999999999,4
144,3692056,18796190,Entire home/apt,1,65,14,58.8,3822.0,4
145,3693784,18796190,Entire home/apt,2,83,12,50.4,4183.2,4
146,3695348,18819458,Entire home/apt,1,45,34,142.79999999999998,6425.999999999999,1
147,3717878,18982647,Entire home/apt,1,65,7,29.4,1911.0,1
148,3718301,2735557,Entire home/apt,1,29,34,142.79999999999998,4141.2,6
149,3732992,12410494,Entire home/apt,1,95,48,201.6,19152.0,1
150,3735254,19092197,Private room,1,26,19,79.8,2074.7999999999997,5
151,3738130,19109255,Private room,1,25,61,256.0,6400.0,6
152,3810262,12595418,Entire home/apt,1,50,17,71.39999999999999,3569.9999999999995,1
153,3848661,15315094,Entire home/apt,2,120,39,163.79999999999998,19655.999999999996,1
154,3998507,19838823,Entire home/apt,1,110,21,88.19999999999999,9701.999999999998,1
155,4037369,20931814,Private room,1,30,20,84.0,2520.0,5
156,4043299,20965298,Private room,1,25,30,125.99999999999999,3149.9999999999995,4
157,4066801,21115256,Entire home/apt,2,180,22,92.39999999999999,16632.0,1
158,4088420,20636507,Entire home/apt,2,90,7,29.4,2646.0,1
159,4097548,21253267,Entire home/apt,1,110,10,42.0,4620.0,1
160,4122957,21359954,Private room,1,45,28,117.6,5292.0,1
161,4126636,21307314,Entire home/apt,2,110,22,92.39999999999999,10163.999999999998,1
162,4154174,6481965,Private room,1,40,38,159.6,6384.0,1
163,4190104,21738617,Private room,1,34,46,193.2,6568.799999999999,5
164,4222263,16948727,Private room,1,42,16,67.19999999999999,2822.3999999999996,3
165,4370385,18011552,Entire home/apt,3+,105,26,109.19999999999999,11465.999999999998,2
166,4414897,21957328,Entire home/apt,2,95,7,29.4,2793.0,2
167,4450127,9312848,Entire home/apt,Studio,78,36,151.2,11793.599999999999,1
168,4480418,19371220,Private room,1,25,36,151.2,3779.9999999999995,2
169,4529917,29102137,Entire home/apt,1,91,14,58.8,5350.8,3
170,4546029,13759424,Entire home/apt,1,60,12,50.4,3024.0,5
171,4581031,23425417,Entire home/apt,2,125,10,42.0,5250.0,4
172,4586780,11138696,Entire home/apt,2,63,13,54.599999999999994,3439.7999999999997,3
173,4590554,14979934,Entire home/apt,1,55,29,121.8,6699.0,2
174,4610821,23642159,Entire home/apt,1,53,14,58.8,3116.3999999999996,3
175,4612021,23726480,Entire home/apt,1,85,30,125.99999999999999,10709.999999999998,1
176,4625923,17719982,Entire home/apt,1,75,47,197.39999999999998,14804.999999999998,1
177,4633344,23994089,Entire home/apt,1,55,33,138.6,7623.0,5
178,4646325,18011552,Private room,1,50,9,37.8,1889.9999999999998,2
179,4655216,14108597,Entire home/apt,2,144,41,172.2,24796.8,1
180,4677019,24189499,Private room,1,25,23,96.6,2415.0,5
181,4698123,5958300,Entire home/apt,Studio,59,10,42.0,2478.0,5
182,4706560,24327463,Entire home/apt,3+,71,23,96.6,6858.599999999999,2
183,4735196,24447166,Entire home/apt,1,45,15,62.99999999999999,2834.9999999999995,6
184,4745499,22198122,Private room,1,35,24,100.8,3528.0,1
185,4756782,24545968,Entire home/apt,1,60,26,109.19999999999999,6551.999999999999,5
186,4844883,24930450,Entire home/apt,1,80,15,62.99999999999999,5039.999999999999,3
187,4895996,11683637,Entire home/apt,1,75,17,71.39999999999999,5354.999999999999,3
188,4921596,25256160,Entire home/apt,1,65,22,92.39999999999999,6005.999999999999,2
189,4954181,24866926,Private room,1,26,10,42.0,1092.0,5
190,5017116,20051155,Entire home/apt,1,85,8,33.599999999999994,2855.9999999999995,4
191,5098388,10116859,Entire home/apt,2,65,19,79.8,5187.0,6
192,5148857,26621073,Private room,1,30,103,256.0,7680.0,5
193,5177761,4433732,Private room,1,45,19,79.8,3591.0,3
194,5208992,26947450,Entire home/apt,Studio,30,34,142.79999999999998,4283.999999999999,5
195,5224276,27033350,Entire home/apt,1,80,28,117.6,9408.0,3
196,5224717,8613866,Private room,1,24,12,50.4,1209.6,2
