,Zone,Rent,Area,Yearly rent,Number of bedrooms
782,6,805.0,103.0,9660.0,3+
783,6,508.0,47.0,6096.0,1
784,6,643.0,68.0,7716.0,2
785,6,684.0,83.0,8208.0,3+
786,6,505.0,47.0,6060.0,1
787,6,650.0,73.0,7800.0,2
788,6,585.0,82.0,7020.0,3+
789,6,630.0,82.0,7560.0,3+
790,6,590.0,75.0,7080.0,2
791,6,580.0,85.0,6960.0,3+
792,6,615.0,67.0,7380.0,2
793,6,700.0,85.0,8400.0,3+
794,6,550.0,62.0,6600.0,1
795,6,600.0,62.0,7200.0,1
796,6,617.0,69.0,7404.0,2
797,6,648.0,69.0,7776.0,2
798,6,800.0,98.0,9600.0,3+
799,6,560.0,49.0,6720.0,1
800,6,665.0,72.0,7980.0,2
801,6,622.0,65.0,7464.0,2
802,6,650.0,70.0,7800.0,2
803,6,750.0,83.0,9000.0,3+
804,6,901.0,105.0,10812.0,3+
805,6,530.0,47.0,6360.0,1
806,6,700.0,72.0,8400.0,2
807,6,800.0,88.0,9600.0,3+
808,6,745.0,81.0,8940.0,3+
809,6,912.0,101.0,10944.0,3+
810,6,650.0,66.0,7800.0,2
811,6,850.0,97.0,10200.0,3+
812,6,404.0,32.0,4848.0,1
813,6,519.0,46.0,6228.0,1
814,6,675.0,66.0,8100.0,2
815,6,630.0,61.0,7560.0,1
816,6,516.0,44.0,6192.0,1
817,6,673.0,66.0,8076.0,2
818,6,833.0,88.0,9996.0,3+
819,6,650.0,69.0,7800.0,2
820,6,860.0,103.0,10320.0,3+
821,6,520.0,48.0,6240.0,1
822,6,663.0,64.0,7956.0,1
823,6,585.0,82.0,7020.0,3+
824,6,630.0,82.0,7560.0,2
825,6,590.0,75.0,7080.0,2
826,6,580.0,85.0,6960.0,3+
827,6,615.0,67.0,7380.0,2
828,6,700.0,85.0,8400.0,3+
829,6,550.0,62.0,6600.0,2
830,6,600.0,62.0,7200.0,1
831,6,617.0,69.0,7404.0,2
832,6,648.0,69.0,7776.0,2
833,6,800.0,98.0,9600.0,3+
834,6,800.0,99.0,9600.0,3+
835,6,555.0,49.0,6660.0,1
836,6,560.0,49.0,6720.0,1
837,6,665.0,72.0,7980.0,2
838,6,622.0,65.0,7464.0,2
839,6,650.0,70.0,7800.0,2
840,6,750.0,83.0,9000.0,3+
841,6,901.0,105.0,10812.0,3+
842,6,910.0,106.0,10920.0,3+
843,6,530.0,46.0,6360.0,1
844,6,650.0,64.0,7800.0,2
845,6,530.0,47.0,6360.0,1
846,6,700.0,72.0,8400.0,2
847,6,800.0,88.0,9600.0,3+
848,6,745.0,81.0,8940.0,3+
849,6,650.0,66.0,7800.0,2
850,6,700.0,69.0,8400.0,2
851,6,850.0,97.0,10200.0,3+
852,6,865.0,101.0,10380.0,3+
853,6,404.0,32.0,4848.0,Studio
854,6,519.0,46.0,6228.0,1
855,6,668.0,65.0,8016.0,2
856,6,839.0,89.0,10068.0,3+
857,6,404.0,32.0,4848.0,Studio
858,6,519.0,46.0,6228.0,1
859,6,675.0,66.0,8100.0,2
860,6,630.0,61.0,7560.0,1
861,6,650.0,69.0,7800.0,2
862,6,794.0,94.0,9528.0,3+
863,6,662.0,74.0,7944.0,2
864,6,845.0,104.0,10140.0,3+
865,6,662.0,74.0,7944.0,2
866,6,845.0,104.0,10140.0,3+
867,6,840.0,95.0,10080.0,3+
868,6,767.0,94.0,9204.0,3+
869,6,840.0,95.0,10080.0,3+
870,6,767.0,94.0,9204.0,3+
871,6,650.0,94.0,7800.0,3+
872,6,780.0,86.0,9360.0,3+
873,6,800.0,98.0,9600.0,3+
874,6,858.0,96.0,10296.0,3+
875,6,850.0,93.0,10200.0,3+
876,6,650.0,94.0,7800.0,3+
877,6,780.0,86.0,9360.0,3+
878,6,800.0,98.0,9600.0,3+
879,6,858.0,96.0,10296.0,3+
880,6,850.0,93.0,10200.0,3+
881,6,556.0,57.0,6672.0,1
882,6,399.0,30.0,4788.0,Studio
883,6,510.0,46.0,6120.0,1
884,6,648.0,67.0,7776.0,2
885,6,738.0,84.0,8856.0,3+
886,6,399.0,30.0,4788.0,Studio
887,6,510.0,46.0,6120.0,1
888,6,648.0,67.0,7776.0,2
889,6,738.0,84.0,8856.0,3+
890,6,550.0,56.0,6600.0,1
891,6,560.0,58.0,6720.0,1
892,6,550.0,56.0,6600.0,1
893,6,560.0,58.0,6720.0,1
894,6,550.0,67.0,6600.0,2
895,6,547.0,60.0,6564.0,1
896,6,517.0,49.0,6204.0,1
897,6,561.0,55.0,6732.0,1
898,6,570.0,56.0,6840.0,1
899,6,550.0,67.0,6600.0,2
900,6,547.0,60.0,6564.0,1
901,6,517.0,49.0,6204.0,1
902,6,561.0,55.0,6732.0,1
903,6,570.0,56.0,6840.0,1
